march20,0.11050987624020413,0.2609353679006679
march25,0.11897294099488633,0.2735396926164177
march30,0.15009008785708744,0.28117520885716396
march27,0.1357045642178055,0.26990519897844634
march23,0.13804602407938193,0.25814615251233014
march26,0.11787649854331893,0.2769707617734564
march28,0.13373133879058055,0.2818426535781419
march21,0.13432045888306132,0.27536174949908343
march31,0.12889458348698007,0.252936799377024
march24,0.12927813734533028,0.27004338960305724
march22,0.12914789675573393,0.2721166734471582
